# index, id, name, non_attrition, attrition, _pos
199,327,University of Pittsburgh,197,56,"array([-2.20297062,  5.41442167])"
200,103,Kansas State,68,22,"array([-2.15752589,  5.60172452])"
201,689761,"Academy of Sciences, Russia",0,0,"array([-2.06454996,  5.46018413])"
202,538227,Memphis State University,0,0,"array([-2.2011603 ,  5.67236885])"
203,537911,University of Amsterdam,0,0,"array([-2.06270053,  5.56194346])"
204,545221,Hong Kong University of Science and Technology,0,0,"array([-1.98722251,  5.40322697])"
205,689903,Nizhny Novgorod State University,0,0,"array([-2.18686108,  5.05170302])"
206,539276,University of Aberdeen,0,0,"array([-2.00974789,  5.57586678])"
207,80,George Washington,80,29,"array([-2.23202088,  5.53383787])"
208,308,University of Nebraska-Lincoln,165,51,"array([-2.1200466 ,  5.50278251])"
209,537985,University of Buenos Aires,0,0,"array([-2.24109181,  5.45199854])"
210,539010,University of Hamburg,0,0,"array([-2.04236112,  5.43834579])"
211,544852,University of Gottingen,0,0,"array([-2.17769688,  5.60515193])"
212,689841,University of Jussieu,0,0,"array([-2.60286442,  5.32278478])"
213,554047,University of Osnabruck,0,0,"array([-2.32072792,  5.31991673])"
214,538065,University of Waterloo,0,0,"array([-2.09252412,  5.56639842])"
215,97,IUPUI,7,1,"array([-2.17777402,  5.39647384])"
216,15,Auburn,30,10,"array([-2.14305512,  5.44637125])"
217,537917,University of Helsinki,0,0,"array([-2.27750818,  5.43144032])"
218,66,Emory,169,27,"array([-2.17599154,  5.44781509])"
219,53,"City University of New York, The",0,0,"array([-2.14914474,  5.41952165])"
220,689771,Eindhoven University of Technology,0,0,"array([-2.37848727,  5.40222077])"
221,538758,Utrecht University,0,0,"array([-2.0993598 ,  5.37219362])"
222,298,University of Memphis,60,16,"array([-2.16953859,  5.42838841])"
223,689780,Sobolev Institute of Mathematics,0,0,"array([-2.51910193,  5.52748506])"
224,689782,"Academy of Sciences, Hungary",0,0,"array([-2.01633504,  5.33366285])"
225,537903,Catholic University of Leuven,0,0,"array([-2.0836246 ,  5.62813626])"
226,537914,University of Freiburg,0,0,"array([-2.28488462,  5.54270758])"
227,542882,Christian-Albrechts University at Kiel,0,0,"array([-2.19269886,  5.77623221])"
228,556120,Institut National De Recherche En Informatique Et En Automatique,0,0,"array([-1.91335241,  6.05818546])"
229,538001,University of Victoria,0,0,"array([-2.04041467,  5.3859609 ])"
230,221,Texas State,15,4,"array([-2.08258795,  5.52886718])"
231,408,University of Maryland Baltimore,179,64,"array([-2.19282752,  5.42414225])"
232,557723,Corvinus University of Budapest,0,0,"array([-2.35148037,  5.69987653])"
233,540971,Johannes Kepler University,0,0,"array([-2.22579928,  5.13771625])"
234,203,SUNY Binghamton,137,31,"array([-2.18802171,  5.51091912])"
235,641943,Max Planck Institute for Mathematics,0,0,"array([-2.7754451 ,  5.08505859])"
236,538148,University of Belgrade,0,0,"array([-1.99753952,  5.52850253])"
237,543929,LOMI Mathematics Institute,0,0,"array([-2.09536115,  4.84192456])"
238,354,Virginia Tech,139,48,"array([-2.09726671,  5.51223232])"
239,557398,Autonomous University of Madrid,0,0,"array([-2.01664581,  5.44561909])"
240,359,Wayne State,82,31,"array([-2.22137798,  5.53531631])"
241,543804,Ben-Gurion University of the Negev,0,0,"array([-1.96626214,  5.45018754])"
242,538029,University of Bremen,0,0,"array([-1.9967214 ,  5.41601476])"
243,689810,Hacettepe University,0,0,"array([-2.37265147,  5.60768473])"
244,541915,Birla Institute of Technology and Science,0,0,"array([-2.11770973,  5.23124598])"
245,538112,Chalmers University of Technology,0,0,"array([-1.94471007,  5.59038465])"
246,277,University of Houston,97,31,"array([-2.20364895,  5.48353463])"
247,538731,University of Siegen,0,0,"array([-1.74907431,  5.5944076 ])"
248,537408,Rutgers University - Camden,5,1,"array([-2.24466279,  5.47357947])"
249,537897,University of Glasgow,0,0,"array([-2.14787507,  5.59092866])"
250,689768,University of Nottingham,0,0,"array([-2.0391707 ,  5.40212328])"
251,538150,"Queen's University, Kingston",0,0,"array([-2.05856167,  5.43704647])"
252,633895,Ludwig-Maximilians-Universität München,0,0,"array([-2.23264967,  5.47574198])"
253,537151,University of Bristol,0,0,"array([-2.06138229,  5.57292244])"
254,539202,University of Crete,0,0,"array([-2.3596358 ,  5.50297564])"
255,555287,"Institute of Mathematics, Bucharest",0,0,"array([-1.9127587 ,  6.11919342])"
256,324,University of Oklahoma,131,47,"array([-2.11322089,  5.48313558])"
257,557925,University of Lubeck,0,0,"array([-1.82868166,  5.4310983 ])"
258,238,Tulane,69,27,"array([-2.06932459,  5.50282841])"
259,276,University of Hawaii,63,23,"array([-2.12015343,  5.44970518])"
260,165,Portland State,12,5,"array([-2.14751421,  5.40778055])"
261,537924,University of Zurich,0,0,"array([-2.17812272,  5.38100949])"
262,538062,University of Stuttgart,0,0,"array([-2.12400598,  5.3354399 ])"
263,546992,University of Western Australia,0,0,"array([-2.21791658,  5.63365911])"
264,542493,Friedrich-Schiller University of Jena,0,0,"array([-2.12455465,  5.26936372])"
265,539814,University of Pretoria,0,0,"array([-1.96077607,  5.52586041])"
266,539162,Peking University,0,0,"array([-2.23004699,  5.48916973])"
267,539490,University of Science and Technology of China,0,0,"array([-1.99049449,  5.50337742])"
268,689758,Tata Institute of Fundamental Research,0,0,"array([-2.01126645,  5.58995464])"
269,537153,University of Calgary,0,0,"array([-2.05187423,  5.50451843])"
270,537918,University of Milan,0,0,"array([-2.02291153,  5.49801416])"
271,538961,University of Munster,0,0,"array([-2.06989232,  5.60843654])"
272,363,Western Michigan,44,16,"array([-2.10788803,  5.56930026])"
273,278,University of Idaho,7,2,"array([-2.13345316,  5.55831301])"
274,537183,Monash University,0,0,"array([-2.21676958,  5.37441974])"
275,544155,Bogolyubov Institute for Theoretical Physics,0,0,"array([-2.72466291,  5.31581201])"
276,547092,University of Alcala,0,0,"array([-1.93881269,  5.36154744])"
277,353,Virginia Commonwealth,54,10,"array([-2.1603065 ,  5.47824848])"
278,151,Northern Arizona,6,2,"array([-2.15253229,  5.45129401])"
279,318,UNC Greensboro,48,15,"array([-2.09308768,  5.53289554])"
280,237,Tufts,48,17,"array([-2.1940926 ,  5.46257844])"
281,59,Drexel,19,9,"array([-2.15753546,  5.49459207])"
282,181,San Diego State,16,1,"array([-2.09028532,  5.48737852])"
283,543571,University of Turin,0,0,"array([-2.01777002,  5.3545241 ])"
284,555608,University of Madrid,0,0,"array([-1.95981845,  5.61242012])"
285,556965,Technical University of Vienna,0,0,"array([-1.98607114,  5.65093819])"
286,689755,Technische UniversitSt Darmstadt,0,0,"array([-1.99476062,  5.39057475])"
287,689797,University of Newcastle,0,0,"array([-1.98211323,  5.59071903])"
288,537892,Brunel University,0,0,"array([-2.36032594,  5.55215499])"
289,543851,Kurchatov Institute,0,0,"array([-1.87096522,  5.6080273 ])"
290,550472,University of Gdansk,0,0,"array([-1.96215913,  5.70604266])"
291,557214,University of Rouen,0,0,"array([-2.36073659,  5.26627288])"
292,556973,Technische Universitaet Wien,0,0,"array([-2.48398331,  5.66514703])"
293,337,UT Southwestern Medical Center at Dallas,143,49,"array([-2.16383854,  5.54287874])"
294,72,Florida International,22,3,"array([-2.25087519,  5.44723153])"
295,46,William & Mary,13,3,"array([-2.16965136,  5.53039796])"
296,312,"University of Nevada, Reno",39,14,"array([-2.1972167 ,  5.50291654])"
297,305,University of Missouri - Kansas City,7,3,"array([-2.08277975,  5.42256842])"
298,539537,University of Portsmouth,0,0,"array([-2.1050466 ,  5.82966569])"
299,269,University of Dayton,11,4,"array([-2.08883104,  5.51940855])"
300,226,University of Tennessee,137,50,"array([-2.21985417,  5.47699341])"
301,266,CU Denver,12,5,"array([-2.1023862 ,  5.39806885])"
302,556469,Memorial University of Newfoundland,0,0,"array([-2.00941446,  5.40131413])"
303,689933,Universidad Politecnica de Catalunya,0,0,"array([-2.32129461,  5.57326556])"
304,105,Lehigh,22,10,"array([-2.12882561,  5.43448617])"
305,554667,Polytechnic Institute of Brooklyn,0,0,"array([-1.98454124,  5.29828305])"
306,538137,University of Zagreb,0,0,"array([-1.99051106,  5.44827645])"
307,537184,King's College London,0,0,"array([-2.23513401,  5.56236948])"
308,538239,Carnegie Institute of Technology,0,0,"array([-2.35283784,  5.37596017])"
309,555825,Bielefeld University,0,0,"array([-2.2499794 ,  5.33103083])"
310,79,George Mason,106,30,"array([-2.12681258,  5.47514436])"
311,202,University at Albany (SUNY),184,55,"array([-2.15483027,  5.5112046 ])"
312,228,UT Arlington,15,6,"array([-2.08637698,  5.49632522])"
313,557757,University of Augsburg,0,0,"array([-2.0096488 ,  5.15525026])"
314,288,University of Maryland Baltimore County,15,5,"array([-2.12971447,  5.445963  ])"
315,555721,Academy of Sciences of Moldova,0,0,"array([-2.40092045,  5.89170148])"
316,542826,University of Ulm,0,0,"array([-2.33810435,  5.57115643])"
317,137,Montana State,8,3,"array([-2.08343371,  5.44617349])"
318,35,Case Western Reserve,61,24,"array([-2.21610536,  5.43013259])"
319,93,Illinois State,12,3,"array([-2.09119582,  5.54519923])"
320,225,University of Montana,25,13,"array([-2.05608041,  5.53824656])"
321,152,Northern Illinois,44,19,"array([-2.15096836,  5.54345709])"
322,539106,Universidad Carlos III de Madrid,0,0,"array([-2.07521938,  5.24967619])"
323,542947,Central European University,0,0,"array([-1.92432839,  5.08126768])"
324,366,Worcester Polytechnic Institute,13,4,"array([-2.10973321,  5.41026149])"
325,538693,Nagoya University,0,0,"array([-2.30197084,  5.5708783 ])"
326,544006,Lund Institute of Technology,0,0,"array([-2.5798803 ,  5.46099791])"
327,362,West Virginia,80,32,"array([-2.19857067,  5.47245971])"
328,547742,Ghent University,0,0,"array([-2.06509379,  5.37216116])"
329,557661,University of Mumbai,0,0,"array([-2.32235913,  5.45310204])"
330,544288,University of Saskatchewan,0,0,"array([-2.03164983,  5.51555587])"
331,689759,University of Manchester,0,0,"array([-2.21514224,  5.41870741])"
332,543994,University of Wroclaw,0,0,"array([-1.99809282,  5.36228472])"
333,230,UT Dallas,26,7,"array([-2.15258109,  5.47337201])"
334,320,University of North Texas,57,23,"array([-2.16684664,  5.56839193])"
335,546805,Carleton University,0,0,"array([-2.04980514,  5.36993363])"
336,286,University of Louisville,31,15,"array([-2.21998199,  5.50334493])"
337,538786,"Goethe University, Frankfurt",0,0,"array([-2.03192686,  5.59850016])"
338,690031,University College of Wales,0,0,"array([-2.65809574,  5.41882953])"
339,232,UT San Antonio,8,1,"array([-2.12792312,  5.45734712])"
340,193,Southern Methodist,41,12,"array([-2.06425681,  5.51355379])"
341,200,Stevens Institute of Technology,24,13,"array([-2.22704971,  5.51070632])"
342,634047,University of Shanghai for Science and Technology,0,0,"array([-1.76606138,  5.44410248])"
343,556958,Karlsruhe Institute of Technology,0,0,"array([-2.12113488,  5.71442094])"
344,557330,York University,0,0,"array([-2.13501551,  5.61665776])"
345,544639,Seoul National University,0,0,"array([-2.06724037,  5.3898273 ])"
346,540594,University of Quebec,0,0,"array([-2.14755295,  5.28374103])"
347,317,UNC Charlotte,13,6,"array([-2.08806185,  5.47567343])"
348,539756,University of Padova,0,0,"array([-1.97570699,  5.47296839])"
349,284,University of Louisiana at Lafayette,15,2,"array([-2.09450746,  5.45013725])"
350,555789,Autonomous University of Barcelona,0,0,"array([-2.11267441,  5.31920426])"
351,555483,Roskilde University,0,0,"array([-2.25467824,  5.96915968])"
352,557740,Samara State Technical University,0,0,"array([-2.55263165,  5.78711554])"
353,361,Wesleyan,31,9,"array([-2.18672287,  5.58647611])"
354,541277,National Chiao Tung University,0,0,"array([-2.47461329,  5.22270209])"
355,540036,University of Dusseldorf,0,0,"array([-2.53350641,  5.67753769])"
356,689765,"Academy of Sciences, Poland",0,0,"array([-2.02394203,  5.39263716])"
357,544299,University of Innsbruck in Austria,0,0,"array([-2.08613663,  5.26598618])"
358,44,Clemson,17,7,"array([-2.12248974,  5.51327357])"
359,328,University of Rhode Island,28,11,"array([-2.1845791 ,  5.53017618])"
360,311,"University of Nevada, Las Vegas",16,4,"array([-2.15002391,  5.57608708])"
361,159,Old Dominion,34,7,"array([-2.07756295,  5.47369993])"
362,192,Southern Illinois University Carbondale,85,49,"array([-2.14963141,  5.51632527])"
363,94,Indiana State,26,8,"array([-2.1210643 ,  5.40543701])"
364,689882,Moscow Engineering Physics Institute,0,0,"array([-2.49002131,  5.55161118])"
365,556216,Institute of Mathematics,0,0,"array([-2.09732323,  5.85281457])"
